Ward Code,Ward Name ,Time Period,Latest Mid-Year Population Estimates for Ward,All Crimes (number),All Crimes (rate per 1000 ward population),Violent & Sexual Offences (number),Violent & Sexual Offences (rate per 1000 ward population),Burglary (number),Burglary (rate per 1000 ward population)
E05001972,Ashley,2021/22,19002,2350,123.6711925,925,48.67908641,139,7.315019472
E05001973,Avonmouth & Lawrence Weston,2021/22,21361,2554,119.5636908,1162,54.39820233,94,4.400543046
E05001974,Bedminster,2021/22,12568,1116,88.79694462,462,36.76002546,64,5.092297899
E05001975,Bishopston,2021/22,13290,851,64.0331076,289,21.74567344,74,5.568096313
E05001976,Bishopsworth,2021/22,11442,1189,103.9153994,465,40.6397483,85,7.428771194
E05001977,Brislington East,2021/22,11767,883,75.04036713,397,33.73842101,71,6.033823404
E05001978,Brislington West,2021/22,11563,1304,112.7735017,539,46.61420047,71,6.140275015
E05001979,Cabot,2021/22,23066,7961,345.1400329,2575,111.6361745,237,10.27486344
E05001980,Clifton,2021/22,13337,758,56.83437055,218,16.34550499,61,4.573742221
E05001981,Clifton East,2021/22,11296,656,58.07365439,186,16.46600567,56,4.957507082
E05001982,Cotham,2021/22,11720,661,56.39931741,207,17.66211604,58,4.948805461
E05001983,Easton,2021/22,14340,1562,108.9260809,653,45.53695955,67,4.672245467
E05001984,Eastville,2021/22,14756,1762,119.4090539,669,45.33748983,98,6.641366224
E05001985,Filwood,2021/22,13824,1808,130.787037,808,58.44907407,69,4.991319444
E05001986,Frome Vale,2021/22,13654,1512,110.7367804,629,46.06708657,78,5.712611689
E05001987,Hartcliffe,2021/22,18839,2616,138.8608737,1300,69.00578587,119,6.316683476
E05001988,Henbury,2021/22,12641,1413,111.7791314,630,49.83782929,52,4.113598608
E05001990,Henleaze,2021/22,19677,847,43.04517965,218,11.07892463,158,8.029679321
E05001989,Hengrove,2021/22,16948,1899,112.0486193,831,49.0323342,117,6.903469436
E05001991,Hillfields,2021/22,12906,1042,80.73764141,414,32.07810321,65,5.03641717
E05001992,Horfield,2021/22,13339,1428,107.0545018,621,46.55521403,100,7.496813854
E05001993,Hotwells & Harbourside,2021/22,7005,2403,343.0406852,1078,153.8900785,56,7.994289793
E05001994,Knowle,2021/22,13252,1088,82.10081497,426,32.14609116,52,3.92393601
E05001995,Lawrence Hill,2021/22,20156,3803,188.6783092,1426,70.74816432,183,9.079182377
E05001996,Lockleaze,2021/22,13278,1399,105.3622534,560,42.17502636,67,5.045940654
E05001997,Redland,2021/22,12949,702,54.21268052,241,18.61147579,77,5.946405128
E05001998,Southmead,2021/22,12676,1332,105.080467,582,45.91353739,62,4.891132849
E05001999,Southville,2021/22,12960,2030,156.6358025,639,49.30555556,98,7.561728395
E05002000,St George Central,2021/22,12876,1045,81.15874495,424,32.92948121,66,5.125815471
E05002001,St George Troopers Hill,2021/22,5740,258,44.94773519,112,19.51219512,17,2.961672474
E05002002,St George West,2021/22,6579,740,112.4791002,276,41.95166439,41,6.231950144
E05002003,Stockwood,2021/22,11367,980,86.21448051,457,40.20409959,73,6.422099059
E05002004,Stoke Bishop,2021/22,11948,636,53.23066622,245,20.50552394,76,6.360897221
E05002005,Westbury-on-Trym & Henleaze,2021/22,19677,847,43.04517965,218,11.07892463,158,8.029679321
E05002006,Windmill Hill,2021/22,13744,1195,86.94703143,430,31.28637951,72,5.238649593