﻿Ward 2016 code,Ward 2016 name,Mid-Year,Population estimate
E05010913,Southmead,2020,12676
E05010915,Stockwood,2020,11367
E05010890,Brislington East,2020,11767
E05010918,Windmill Hill,2020,13744
E05010885,Ashley,2020,19002
E05010887,Bedminster,2020,12568
E05010891,Brislington West,2020,11563
E05010894,Clifton Down,2020,11296
E05010900,Hartcliffe & Withywood,2020,18839
E05010903,Hillfields,2020,12906
E05010916,Stoke Bishop,2020,11948
E05010889,Bishopsworth,2020,11442
E05010895,Cotham,2020,11720
E05010910,St George Central,2020,12876
E05010912,St George West,2020,6579
E05010914,Southville,2020,12960
E05010892,Central,2020,23066
E05010886,Avonmouth & Lawrence Weston,2020,21361
E05010888,Bishopston & Ashley Down,2020,13290
E05010908,Lockleaze,2020,13278
E05010896,Easton,2020,14340
E05010897,Eastville,2020,14756
E05010899,Frome Vale,2020,13654
E05010902,Hengrove & Whitchurch Park,2020,16948
E05010906,Knowle,2020,13252
E05010909,Redland,2020,12949
E05010917,Westbury-on-Trym & Henleaze,2020,19677
E05010893,Clifton,2020,13337
E05010898,Filwood,2020,13824
E05010901,Henbury & Brentry,2020,12641
E05010904,Horfield,2020,13339
E05010905,Hotwells & Harbourside,2020,7005
E05010907,Lawrence Hill,2020,20156
E05010911,St George Troopers Hill,2020,5740